date,action,cash_in,shares_bought,price,shares,cash,total_value
2011-11-30,buy,1000.0,45.851250172612964,21.809656143188477,15708.882028699694,0.0,342605.31543985335
2011-12-31,buy,1000.0,44.055753020635926,22.698511123657227,15752.93778172033,0.0,357568.2334686591
2012-01-31,buy,1000.0,45.647590273593174,21.90696144104004,15798.585371993922,0.0,346099.00056725007
2012-02-29,buy,1000.0,44.12510776939487,22.66283416748047,15842.710479763316,0.0,359040.720366281
2012-03-31,buy,1000.0,41.34805472390058,24.184934616088867,15884.058534487218,0.0,384154.9170947017
2012-04-30,buy,1000.0,40.09655207646465,24.939800262451172,15924.155086563682,0.0,397145.2472071941
2012-05-31,buy,1000.0,40.949682599501294,24.42021369934082,15965.104769163183,0.0,389871.2701953302
2012-06-30,buy,1000.0,38.872175456245074,25.725341796875,16003.976944619428,0.0,411707.77700964204
2012-07-31,buy,1000.0,37.61652294979697,26.584062576293945,16041.593467569224,0.0,426450.72456532845
2012-08-31,buy,1000.0,40.63389080463378,24.60999870300293,16082.227358373859,0.0,395783.5944309789
2012-09-30,buy,1000.0,39.79560243594435,25.12840461730957,16122.022960809803,0.0,405120.71620878397
2012-10-31,buy,1000.0,40.598363731566735,24.631534576416016,16162.621324541371,0.0,398110.1660009596
2012-11-30,buy,1000.0,39.534851979951156,25.294137954711914,16202.156176521323,0.0,409819.57349271805
2012-12-31,buy,1000.0,41.35619884685898,24.180171966552734,16243.512375368182,0.0,392770.92257723014
2013-01-31,buy,1000.0,40.256746096280864,24.840557098388672,16283.769121464462,0.0,404497.8966387163
2013-02-28,buy,1000.0,38.71800946327325,25.827774047851562,16322.487130927735,0.0,421573.50951656647
2013-03-31,buy,1000.0,36.80483220669921,27.170345306396484,16359.291963134434,0.0,444487.6116065194
2013-04-30,buy,1000.0,35.16151698156382,28.440183639526367,16394.453480115997,0.0,466261.2676441711
2013-05-31,buy,1000.0,37.21897275413711,26.868017196655273,16431.672452870134,0.0,441486.4580335215
2013-06-30,buy,1000.0,36.852912743618404,27.134897232055664,16468.525365613754,0.0,446871.74335943116
2013-07-31,buy,1000.0,36.88049826039367,27.114601135253906,16505.405863874148,0.0,447537.49657442846
2013-08-31,buy,1000.0,38.715822240463474,25.829233169555664,16544.121686114613,0.0,427321.97661615675
2013-09-30,buy,1000.0,38.74069394794145,25.812650680541992,16582.862380062554,0.0,428047.6339000559
